,concept:name,lifecycle:transition,org:resource,time:timestamp,Activity,Resource,case:concept:name,case:variant,case:variant-index,case:creator
728,Resolve ticket,complete,Value 16,2010-03-30 14:25:57+00:00,Resolve ticket,Value 16,Case2199,Variant 3,3,Fluxicon Disco
729,Closed,complete,Value 5,2010-04-30 09:10:24+00:00,Closed,Value 5,Case2199,Variant 3,3,Fluxicon Disco
730,Insert ticket,complete,Value 11,2010-03-30 15:58:20+00:00,Insert ticket,Value 11,Case276,Variant 7,7,Fluxicon Disco
731,Assign seriousness,complete,Value 11,2010-03-30 15:58:35+00:00,Assign seriousness,Value 11,Case276,Variant 7,7,Fluxicon Disco
732,Take in charge ticket,complete,Value 11,2010-03-30 15:59:10+00:00,Take in charge ticket,Value 11,Case276,Variant 7,7,Fluxicon Disco
733,Resolve ticket,complete,Value 11,2010-03-30 16:13:29+00:00,Resolve ticket,Value 11,Case276,Variant 7,7,Fluxicon Disco
734,Closed,complete,Value 5,2010-05-13 16:00:27+00:00,Closed,Value 5,Case276,Variant 7,7,Fluxicon Disco
735,Insert ticket,complete,Value 5,2010-03-31 07:46:16+00:00,Insert ticket,Value 5,Case4496,Variant 7,7,Fluxicon Disco
736,Assign seriousness,complete,Value 2,2010-03-31 09:18:40+00:00,Assign seriousness,Value 2,Case4496,Variant 7,7,Fluxicon Disco
737,Take in charge ticket,complete,Value 16,2010-03-31 10:51:30+00:00,Take in charge ticket,Value 16,Case4496,Variant 7,7,Fluxicon Disco
738,Resolve ticket,complete,Value 16,2010-03-31 11:00:57+00:00,Resolve ticket,Value 16,Case4496,Variant 7,7,Fluxicon Disco
739,Closed,complete,Value 5,2010-05-08 07:50:37+00:00,Closed,Value 5,Case4496,Variant 7,7,Fluxicon Disco
740,Assign seriousness,complete,Value 2,2010-04-01 08:57:16+00:00,Assign seriousness,Value 2,Case2033,Variant 24,24,Fluxicon Disco
741,Wait,complete,Value 16,2010-04-02 07:26:11+00:00,Wait,Value 16,Case2033,Variant 24,24,Fluxicon Disco
742,Take in charge ticket,complete,Value 2,2010-04-26 13:13:55+00:00,Take in charge ticket,Value 2,Case2033,Variant 24,24,Fluxicon Disco
743,Resolve ticket,complete,Value 2,2010-04-26 13:13:59+00:00,Resolve ticket,Value 2,Case2033,Variant 24,24,Fluxicon Disco
744,Closed,complete,Value 21,2010-05-10 09:36:47+00:00,Closed,Value 21,Case2033,Variant 24,24,Fluxicon Disco
745,Assign seriousness,complete,Value 2,2010-04-01 09:16:17+00:00,Assign seriousness,Value 2,Case1394,Variant 1,1,Fluxicon Disco
746,Take in charge ticket,complete,Value 2,2010-04-02 10:32:20+00:00,Take in charge ticket,Value 2,Case1394,Variant 1,1,Fluxicon Disco
747,Resolve ticket,complete,Value 2,2010-04-02 10:32:27+00:00,Resolve ticket,Value 2,Case1394,Variant 1,1,Fluxicon Disco
748,Closed,complete,Value 5,2010-05-30 09:21:41+00:00,Closed,Value 5,Case1394,Variant 1,1,Fluxicon Disco
749,Assign seriousness,complete,Value 2,2010-04-01 09:18:25+00:00,Assign seriousness,Value 2,Case3866,Variant 1,1,Fluxicon Disco
750,Take in charge ticket,complete,Value 11,2010-04-02 08:04:00+00:00,Take in charge ticket,Value 11,Case3866,Variant 1,1,Fluxicon Disco
751,Resolve ticket,complete,Value 11,2010-04-02 08:04:25+00:00,Resolve ticket,Value 11,Case3866,Variant 1,1,Fluxicon Disco
752,Closed,complete,Value 5,2010-05-30 09:21:41+00:00,Closed,Value 5,Case3866,Variant 1,1,Fluxicon Disco
753,Assign seriousness,complete,Value 2,2010-04-01 09:36:02+00:00,Assign seriousness,Value 2,Case587,Variant 3,3,Fluxicon Disco
754,Take in charge ticket,complete,Value 2,2010-04-29 08:55:35+00:00,Take in charge ticket,Value 2,Case587,Variant 3,3,Fluxicon Disco
755,Wait,complete,Value 2,2010-04-29 09:38:26+00:00,Wait,Value 2,Case587,Variant 3,3,Fluxicon Disco
756,Take in charge ticket,complete,Value 2,2010-04-29 13:39:58+00:00,Take in charge ticket,Value 2,Case587,Variant 3,3,Fluxicon Disco
757,Resolve ticket,complete,Value 2,2010-04-29 14:26:41+00:00,Resolve ticket,Value 2,Case587,Variant 3,3,Fluxicon Disco
758,Closed,complete,Value 5,2010-05-14 14:26:52+00:00,Closed,Value 5,Case587,Variant 3,3,Fluxicon Disco
759,Assign seriousness,complete,Value 16,2010-04-01 09:47:23+00:00,Assign seriousness,Value 16,Case3316,Variant 9,9,Fluxicon Disco
760,Take in charge ticket,complete,Value 16,2010-04-01 10:01:46+00:00,Take in charge ticket,Value 16,Case3316,Variant 9,9,Fluxicon Disco
761,Resolve ticket,complete,Value 16,2010-04-01 10:08:18+00:00,Resolve ticket,Value 16,Case3316,Variant 9,9,Fluxicon Disco
762,Take in charge ticket,complete,Value 16,2010-04-01 12:50:59+00:00,Take in charge ticket,Value 16,Case3316,Variant 9,9,Fluxicon Disco
763,Resolve ticket,complete,Value 16,2010-04-01 13:08:24+00:00,Resolve ticket,Value 16,Case3316,Variant 9,9,Fluxicon Disco
764,Closed,complete,Value 5,2010-05-15 09:50:38+00:00,Closed,Value 5,Case3316,Variant 9,9,Fluxicon Disco
765,Assign seriousness,complete,Value 16,2010-04-02 07:21:01+00:00,Assign seriousness,Value 16,Case4329,Variant 220,220,Fluxicon Disco
766,Assign seriousness,complete,Value 16,2010-04-02 07:26:37+00:00,Assign seriousness,Value 16,Case4329,Variant 220,220,Fluxicon Disco
767,Take in charge ticket,complete,Value 16,2010-05-04 08:33:59+00:00,Take in charge ticket,Value 16,Case4329,Variant 220,220,Fluxicon Disco
768,Resolve ticket,complete,Value 16,2010-05-04 08:57:35+00:00,Resolve ticket,Value 16,Case4329,Variant 220,220,Fluxicon Disco
769,Resolve ticket,complete,Value 16,2010-05-04 08:57:50+00:00,Resolve ticket,Value 16,Case4329,Variant 220,220,Fluxicon Disco
770,Resolve ticket,complete,Value 16,2010-05-04 08:57:54+00:00,Resolve ticket,Value 16,Case4329,Variant 220,220,Fluxicon Disco
771,Closed,complete,Value 5,2010-05-19 08:58:23+00:00,Closed,Value 5,Case4329,Variant 220,220,Fluxicon Disco
772,Assign seriousness,complete,Value 2,2010-04-02 12:37:23+00:00,Assign seriousness,Value 2,Case4008,Variant 3,3,Fluxicon Disco
773,Take in charge ticket,complete,Value 2,2010-04-27 08:07:43+00:00,Take in charge ticket,Value 2,Case4008,Variant 3,3,Fluxicon Disco
774,Wait,complete,Value 2,2010-04-27 08:45:55+00:00,Wait,Value 2,Case4008,Variant 3,3,Fluxicon Disco
775,Take in charge ticket,complete,Value 2,2010-04-28 14:45:48+00:00,Take in charge ticket,Value 2,Case4008,Variant 3,3,Fluxicon Disco
776,Resolve ticket,complete,Value 2,2010-04-28 14:53:24+00:00,Resolve ticket,Value 2,Case4008,Variant 3,3,Fluxicon Disco
777,Closed,complete,Value 5,2010-05-13 14:53:44+00:00,Closed,Value 5,Case4008,Variant 3,3,Fluxicon Disco
778,Assign seriousness,complete,Value 2,2010-04-06 15:02:19+00:00,Assign seriousness,Value 2,Case3550,Variant 1,1,Fluxicon Disco
779,Take in charge ticket,complete,Value 2,2010-04-07 07:42:08+00:00,Take in charge ticket,Value 2,Case3550,Variant 1,1,Fluxicon Disco
780,Resolve ticket,complete,Value 2,2010-04-07 08:54:01+00:00,Resolve ticket,Value 2,Case3550,Variant 1,1,Fluxicon Disco
781,Closed,complete,Value 5,2010-05-20 15:10:34+00:00,Closed,Value 5,Case3550,Variant 1,1,Fluxicon Disco
782,Insert ticket,complete,Value 15,2010-04-07 08:55:57+00:00,Insert ticket,Value 15,Case2745,Variant 173,173,Fluxicon Disco
783,Assign seriousness,complete,Value 15,2010-04-07 08:57:25+00:00,Assign seriousness,Value 15,Case2745,Variant 173,173,Fluxicon Disco
784,Take in charge ticket,complete,Value 2,2010-04-07 09:15:58+00:00,Take in charge ticket,Value 2,Case2745,Variant 173,173,Fluxicon Disco
785,Resolve ticket,complete,Value 2,2010-04-07 09:16:03+00:00,Resolve ticket,Value 2,Case2745,Variant 173,173,Fluxicon Disco
786,Take in charge ticket,complete,Value 2,2010-04-26 13:47:40+00:00,Take in charge ticket,Value 2,Case2745,Variant 173,173,Fluxicon Disco
787,Resolve ticket,complete,Value 2,2010-04-29 13:03:14+00:00,Resolve ticket,Value 2,Case2745,Variant 173,173,Fluxicon Disco
788,Resolve ticket,complete,Value 2,2010-04-29 13:03:15+00:00,Resolve ticket,Value 2,Case2745,Variant 173,173,Fluxicon Disco
789,Closed,complete,Value 5,2010-05-14 13:03:32+00:00,Closed,Value 5,Case2745,Variant 173,173,Fluxicon Disco
790,Assign seriousness,complete,Value 2,2010-04-07 14:23:36+00:00,Assign seriousness,Value 2,Case4247,Variant 1,1,Fluxicon Disco
791,Take in charge ticket,complete,Value 2,2010-04-07 14:23:44+00:00,Take in charge ticket,Value 2,Case4247,Variant 1,1,Fluxicon Disco
792,Resolve ticket,complete,Value 2,2010-04-12 09:02:28+00:00,Resolve ticket,Value 2,Case4247,Variant 1,1,Fluxicon Disco
793,Closed,complete,Value 5,2010-05-08 14:30:44+00:00,Closed,Value 5,Case4247,Variant 1,1,Fluxicon Disco
794,Insert ticket,complete,Value 12,2010-04-07 15:18:14+00:00,Insert ticket,Value 12,Case4412,Variant 7,7,Fluxicon Disco
795,Assign seriousness,complete,Value 12,2010-04-07 15:18:34+00:00,Assign seriousness,Value 12,Case4412,Variant 7,7,Fluxicon Disco
796,Take in charge ticket,complete,Value 12,2010-04-07 15:39:32+00:00,Take in charge ticket,Value 12,Case4412,Variant 7,7,Fluxicon Disco
797,Resolve ticket,complete,Value 12,2010-04-09 15:14:37+00:00,Resolve ticket,Value 12,Case4412,Variant 7,7,Fluxicon Disco
798,Closed,complete,Value 5,2010-05-14 15:20:47+00:00,Closed,Value 5,Case4412,Variant 7,7,Fluxicon Disco
799,Insert ticket,complete,Value 12,2010-04-07 15:30:47+00:00,Insert ticket,Value 12,Case808,Variant 7,7,Fluxicon Disco
800,Assign seriousness,complete,Value 12,2010-04-07 15:31:32+00:00,Assign seriousness,Value 12,Case808,Variant 7,7,Fluxicon Disco
801,Take in charge ticket,complete,Value 12,2010-04-07 15:37:17+00:00,Take in charge ticket,Value 12,Case808,Variant 7,7,Fluxicon Disco
802,Resolve ticket,complete,Value 12,2010-04-09 15:16:50+00:00,Resolve ticket,Value 12,Case808,Variant 7,7,Fluxicon Disco
803,Closed,complete,Value 5,2010-05-14 15:40:25+00:00,Closed,Value 5,Case808,Variant 7,7,Fluxicon Disco
804,Insert ticket,complete,Value 12,2010-04-07 15:58:49+00:00,Insert ticket,Value 12,Case3150,Variant 37,37,Fluxicon Disco
805,Assign seriousness,complete,Value 12,2010-04-07 15:59:09+00:00,Assign seriousness,Value 12,Case3150,Variant 37,37,Fluxicon Disco
806,Take in charge ticket,complete,Value 12,2010-04-09 15:35:32+00:00,Take in charge ticket,Value 12,Case3150,Variant 37,37,Fluxicon Disco
807,Wait,complete,Value 12,2010-04-09 15:36:47+00:00,Wait,Value 12,Case3150,Variant 37,37,Fluxicon Disco
808,Take in charge ticket,complete,Value 12,2010-05-13 13:13:51+00:00,Take in charge ticket,Value 12,Case3150,Variant 37,37,Fluxicon Disco
809,Resolve ticket,complete,Value 12,2010-05-13 13:14:09+00:00,Resolve ticket,Value 12,Case3150,Variant 37,37,Fluxicon Disco
810,Closed,complete,Value 5,2010-05-28 13:14:17+00:00,Closed,Value 5,Case3150,Variant 37,37,Fluxicon Disco
811,Assign seriousness,complete,Value 2,2010-04-07 16:29:05+00:00,Assign seriousness,Value 2,Case3756,Variant 1,1,Fluxicon Disco
812,Take in charge ticket,complete,Value 2,2010-04-08 10:16:07+00:00,Take in charge ticket,Value 2,Case3756,Variant 1,1,Fluxicon Disco
813,Resolve ticket,complete,Value 2,2010-04-08 10:16:11+00:00,Resolve ticket,Value 2,Case3756,Variant 1,1,Fluxicon Disco
814,Closed,complete,Value 5,2010-05-08 16:00:43+00:00,Closed,Value 5,Case3756,Variant 1,1,Fluxicon Disco
815,Insert ticket,complete,Value 11,2010-04-08 08:58:03+00:00,Insert ticket,Value 11,Case130,Variant 97,97,Fluxicon Disco
816,Assign seriousness,complete,Value 11,2010-04-08 09:01:05+00:00,Assign seriousness,Value 11,Case130,Variant 97,97,Fluxicon Disco
817,Take in charge ticket,complete,Value 11,2010-04-08 09:01:11+00:00,Take in charge ticket,Value 11,Case130,Variant 97,97,Fluxicon Disco
818,Resolve ticket,complete,Value 11,2010-04-08 09:01:19+00:00,Resolve ticket,Value 11,Case130,Variant 97,97,Fluxicon Disco
819,Closed,complete,Value 5,2010-05-11 09:00:24+00:00,Closed,Value 5,Case130,Variant 97,97,Fluxicon Disco
820,Closed,complete,Value 5,2010-05-11 09:00:24+00:00,Closed,Value 5,Case130,Variant 97,97,Fluxicon Disco
821,Assign seriousness,complete,Value 2,2010-04-08 10:00:27+00:00,Assign seriousness,Value 2,Case651,Variant 24,24,Fluxicon Disco
822,Wait,complete,Value 12,2010-04-09 15:48:44+00:00,Wait,Value 12,Case651,Variant 24,24,Fluxicon Disco
823,Take in charge ticket,complete,Value 2,2010-04-14 09:54:27+00:00,Take in charge ticket,Value 2,Case651,Variant 24,24,Fluxicon Disco
824,Resolve ticket,complete,Value 12,2010-04-21 09:43:37+00:00,Resolve ticket,Value 12,Case651,Variant 24,24,Fluxicon Disco
825,Closed,complete,Value 5,2010-05-11 10:10:37+00:00,Closed,Value 5,Case651,Variant 24,24,Fluxicon Disco
826,Assign seriousness,complete,Value 2,2010-04-08 10:05:38+00:00,Assign seriousness,Value 2,Case2266,Variant 1,1,Fluxicon Disco
827,Take in charge ticket,complete,Value 2,2010-04-08 14:27:56+00:00,Take in charge ticket,Value 2,Case2266,Variant 1,1,Fluxicon Disco
828,Resolve ticket,complete,Value 2,2010-04-08 14:28:00+00:00,Resolve ticket,Value 2,Case2266,Variant 1,1,Fluxicon Disco
829,Closed,complete,Value 5,2010-05-11 10:10:22+00:00,Closed,Value 5,Case2266,Variant 1,1,Fluxicon Disco
830,Assign seriousness,complete,Value 2,2010-04-08 13:02:28+00:00,Assign seriousness,Value 2,Case1097,Variant 117,117,Fluxicon Disco
831,Take in charge ticket,complete,Value 2,2010-04-08 13:02:52+00:00,Take in charge ticket,Value 2,Case1097,Variant 117,117,Fluxicon Disco
832,Create SW anomaly,complete,Value 2,2010-04-09 09:34:14+00:00,Create SW anomaly,Value 2,Case1097,Variant 117,117,Fluxicon Disco
833,Resolve ticket,complete,Value 2,2010-05-03 15:25:42+00:00,Resolve ticket,Value 2,Case1097,Variant 117,117,Fluxicon Disco
834,Take in charge ticket,complete,Value 6,2010-05-06 07:41:12+00:00,Take in charge ticket,Value 6,Case1097,Variant 117,117,Fluxicon Disco
835,Resolve ticket,complete,Value 12,2010-05-06 13:36:31+00:00,Resolve ticket,Value 12,Case1097,Variant 117,117,Fluxicon Disco
836,Closed,complete,Value 5,2010-05-21 13:36:47+00:00,Closed,Value 5,Case1097,Variant 117,117,Fluxicon Disco
837,Assign seriousness,complete,Value 2,2010-04-08 13:03:59+00:00,Assign seriousness,Value 2,Case2976,Variant 1,1,Fluxicon Disco
838,Take in charge ticket,complete,Value 2,2010-04-08 13:04:15+00:00,Take in charge ticket,Value 2,Case2976,Variant 1,1,Fluxicon Disco
839,Resolve ticket,complete,Value 2,2010-05-10 16:51:38+00:00,Resolve ticket,Value 2,Case2976,Variant 1,1,Fluxicon Disco
840,Closed,complete,Value 5,2010-05-25 16:51:55+00:00,Closed,Value 5,Case2976,Variant 1,1,Fluxicon Disco
841,Assign seriousness,complete,Value 2,2010-04-09 06:58:27+00:00,Assign seriousness,Value 2,Case2993,Variant 3,3,Fluxicon Disco
842,Take in charge ticket,complete,Value 12,2010-04-09 07:43:14+00:00,Take in charge ticket,Value 12,Case2993,Variant 3,3,Fluxicon Disco
843,Wait,complete,Value 12,2010-04-09 15:34:50+00:00,Wait,Value 12,Case2993,Variant 3,3,Fluxicon Disco
844,Take in charge ticket,complete,Value 12,2010-04-12 16:01:24+00:00,Take in charge ticket,Value 12,Case2993,Variant 3,3,Fluxicon Disco
845,Resolve ticket,complete,Value 12,2010-04-12 16:01:41+00:00,Resolve ticket,Value 12,Case2993,Variant 3,3,Fluxicon Disco
846,Closed,complete,Value 5,2010-05-12 16:02:05+00:00,Closed,Value 5,Case2993,Variant 3,3,Fluxicon Disco
847,Assign seriousness,complete,Value 2,2010-04-09 07:36:35+00:00,Assign seriousness,Value 2,Case363,Variant 4,4,Fluxicon Disco
848,Assign seriousness,complete,Value 2,2010-04-13 15:40:30+00:00,Assign seriousness,Value 2,Case363,Variant 4,4,Fluxicon Disco
849,Take in charge ticket,complete,Value 15,2010-04-14 09:22:18+00:00,Take in charge ticket,Value 15,Case363,Variant 4,4,Fluxicon Disco
850,Resolve ticket,complete,Value 15,2010-04-14 09:22:26+00:00,Resolve ticket,Value 15,Case363,Variant 4,4,Fluxicon Disco
851,Closed,complete,Value 5,2010-05-12 07:40:24+00:00,Closed,Value 5,Case363,Variant 4,4,Fluxicon Disco
852,Assign seriousness,complete,Value 2,2010-04-09 07:37:43+00:00,Assign seriousness,Value 2,Case1373,Variant 4,4,Fluxicon Disco
853,Assign seriousness,complete,Value 2,2010-04-14 15:09:55+00:00,Assign seriousness,Value 2,Case1373,Variant 4,4,Fluxicon Disco
854,Take in charge ticket,complete,Value 2,2010-04-14 15:13:59+00:00,Take in charge ticket,Value 2,Case1373,Variant 4,4,Fluxicon Disco
855,Resolve ticket,complete,Value 2,2010-04-14 15:14:04+00:00,Resolve ticket,Value 2,Case1373,Variant 4,4,Fluxicon Disco
856,Closed,complete,Value 21,2010-05-10 09:36:35+00:00,Closed,Value 21,Case1373,Variant 4,4,Fluxicon Disco
857,Assign seriousness,complete,Value 2,2010-04-09 07:55:35+00:00,Assign seriousness,Value 2,Case921,Variant 1,1,Fluxicon Disco
858,Take in charge ticket,complete,Value 2,2010-04-12 15:40:09+00:00,Take in charge ticket,Value 2,Case921,Variant 1,1,Fluxicon Disco
859,Resolve ticket,complete,Value 2,2010-05-10 10:53:25+00:00,Resolve ticket,Value 2,Case921,Variant 1,1,Fluxicon Disco
860,Closed,complete,Value 5,2010-05-25 10:53:40+00:00,Closed,Value 5,Case921,Variant 1,1,Fluxicon Disco
861,Insert ticket,complete,Value 15,2010-04-09 14:45:30+00:00,Insert ticket,Value 15,Case3459,Variant 7,7,Fluxicon Disco
862,Assign seriousness,complete,Value 16,2010-04-09 15:34:11+00:00,Assign seriousness,Value 16,Case3459,Variant 7,7,Fluxicon Disco
863,Take in charge ticket,complete,Value 2,2010-04-12 07:36:49+00:00,Take in charge ticket,Value 2,Case3459,Variant 7,7,Fluxicon Disco
864,Resolve ticket,complete,Value 2,2010-04-12 14:47:21+00:00,Resolve ticket,Value 2,Case3459,Variant 7,7,Fluxicon Disco
865,Closed,complete,Value 5,2010-05-12 14:50:16+00:00,Closed,Value 5,Case3459,Variant 7,7,Fluxicon Disco
866,Assign seriousness,complete,Value 2,2010-04-09 15:09:04+00:00,Assign seriousness,Value 2,Case4564,Variant 13,13,Fluxicon Disco
867,Assign seriousness,complete,Value 2,2010-04-09 15:12:08+00:00,Assign seriousness,Value 2,Case4564,Variant 13,13,Fluxicon Disco
868,Take in charge ticket,complete,Value 2,2010-05-12 13:24:44+00:00,Take in charge ticket,Value 2,Case4564,Variant 13,13,Fluxicon Disco
869,Wait,complete,Value 2,2010-05-12 13:24:51+00:00,Wait,Value 2,Case4564,Variant 13,13,Fluxicon Disco
870,Take in charge ticket,complete,Value 2,2010-05-17 15:07:43+00:00,Take in charge ticket,Value 2,Case4564,Variant 13,13,Fluxicon Disco
871,Resolve ticket,complete,Value 2,2010-05-17 15:07:49+00:00,Resolve ticket,Value 2,Case4564,Variant 13,13,Fluxicon Disco
872,Closed,complete,Value 5,2010-06-01 15:08:06+00:00,Closed,Value 5,Case4564,Variant 13,13,Fluxicon Disco
873,Assign seriousness,complete,Value 2,2010-04-12 07:41:13+00:00,Assign seriousness,Value 2,Case4310,Variant 1,1,Fluxicon Disco
874,Take in charge ticket,complete,Value 2,2010-04-12 07:41:21+00:00,Take in charge ticket,Value 2,Case4310,Variant 1,1,Fluxicon Disco
875,Resolve ticket,complete,Value 2,2010-04-23 08:13:13+00:00,Resolve ticket,Value 2,Case4310,Variant 1,1,Fluxicon Disco
876,Closed,complete,Value 5,2010-05-28 07:51:36+00:00,Closed,Value 5,Case4310,Variant 1,1,Fluxicon Disco
877,Assign seriousness,complete,Value 2,2010-04-12 07:42:44+00:00,Assign seriousness,Value 2,Case1985,Variant 1,1,Fluxicon Disco
878,Take in charge ticket,complete,Value 2,2010-04-13 09:55:27+00:00,Take in charge ticket,Value 2,Case1985,Variant 1,1,Fluxicon Disco
879,Resolve ticket,complete,Value 2,2010-04-23 07:37:39+00:00,Resolve ticket,Value 2,Case1985,Variant 1,1,Fluxicon Disco
880,Closed,complete,Value 5,2010-05-26 07:50:26+00:00,Closed,Value 5,Case1985,Variant 1,1,Fluxicon Disco
881,Assign seriousness,complete,Value 2,2010-04-12 07:51:54+00:00,Assign seriousness,Value 2,Case862,Variant 1,1,Fluxicon Disco
882,Take in charge ticket,complete,Value 16,2010-05-04 09:14:26+00:00,Take in charge ticket,Value 16,Case862,Variant 1,1,Fluxicon Disco
883,Resolve ticket,complete,Value 16,2010-05-04 09:28:55+00:00,Resolve ticket,Value 16,Case862,Variant 1,1,Fluxicon Disco
884,Closed,complete,Value 5,2010-05-19 09:29:09+00:00,Closed,Value 5,Case862,Variant 1,1,Fluxicon Disco
885,Assign seriousness,complete,Value 2,2010-04-12 09:39:32+00:00,Assign seriousness,Value 2,Case327,Variant 1,1,Fluxicon Disco
886,Take in charge ticket,complete,Value 2,2010-04-29 14:33:17+00:00,Take in charge ticket,Value 2,Case327,Variant 1,1,Fluxicon Disco
887,Resolve ticket,complete,Value 2,2010-04-29 14:33:23+00:00,Resolve ticket,Value 2,Case327,Variant 1,1,Fluxicon Disco
888,Closed,complete,Value 5,2010-05-14 14:33:43+00:00,Closed,Value 5,Case327,Variant 1,1,Fluxicon Disco
889,Insert ticket,complete,Value 11,2010-04-12 12:55:33+00:00,Insert ticket,Value 11,Case4143,Variant 7,7,Fluxicon Disco
890,Assign seriousness,complete,Value 11,2010-04-12 12:56:48+00:00,Assign seriousness,Value 11,Case4143,Variant 7,7,Fluxicon Disco
891,Take in charge ticket,complete,Value 11,2010-04-12 12:56:56+00:00,Take in charge ticket,Value 11,Case4143,Variant 7,7,Fluxicon Disco
892,Resolve ticket,complete,Value 11,2010-04-12 13:00:32+00:00,Resolve ticket,Value 11,Case4143,Variant 7,7,Fluxicon Disco
893,Closed,complete,Value 5,2010-05-13 13:01:33+00:00,Closed,Value 5,Case4143,Variant 7,7,Fluxicon Disco
894,Assign seriousness,complete,Value 6,2010-04-12 14:11:10+00:00,Assign seriousness,Value 6,Case4177,Variant 3,3,Fluxicon Disco
895,Take in charge ticket,complete,Value 2,2010-04-26 13:27:04+00:00,Take in charge ticket,Value 2,Case4177,Variant 3,3,Fluxicon Disco
896,Wait,complete,Value 2,2010-04-26 13:28:33+00:00,Wait,Value 2,Case4177,Variant 3,3,Fluxicon Disco
897,Take in charge ticket,complete,Value 2,2010-05-27 07:14:22+00:00,Take in charge ticket,Value 2,Case4177,Variant 3,3,Fluxicon Disco
898,Resolve ticket,complete,Value 2,2010-05-27 07:14:34+00:00,Resolve ticket,Value 2,Case4177,Variant 3,3,Fluxicon Disco
899,Closed,complete,Value 5,2010-06-11 07:14:49+00:00,Closed,Value 5,Case4177,Variant 3,3,Fluxicon Disco
900,Assign seriousness,complete,Value 2,2010-04-13 08:01:03+00:00,Assign seriousness,Value 2,Case870,Variant 1,1,Fluxicon Disco
901,Take in charge ticket,complete,Value 2,2010-05-12 13:41:21+00:00,Take in charge ticket,Value 2,Case870,Variant 1,1,Fluxicon Disco
902,Resolve ticket,complete,Value 2,2010-05-12 13:41:25+00:00,Resolve ticket,Value 2,Case870,Variant 1,1,Fluxicon Disco
903,Closed,complete,Value 5,2010-06-11 13:41:50+00:00,Closed,Value 5,Case870,Variant 1,1,Fluxicon Disco
904,Assign seriousness,complete,Value 2,2010-04-13 09:52:20+00:00,Assign seriousness,Value 2,Case1594,Variant 143,143,Fluxicon Disco
905,Take in charge ticket,complete,Value 2,2010-04-13 14:33:13+00:00,Take in charge ticket,Value 2,Case1594,Variant 143,143,Fluxicon Disco
906,Resolve ticket,complete,Value 2,2010-04-13 14:33:17+00:00,Resolve ticket,Value 2,Case1594,Variant 143,143,Fluxicon Disco
907,Take in charge ticket,complete,Value 2,2010-04-13 14:34:02+00:00,Take in charge ticket,Value 2,Case1594,Variant 143,143,Fluxicon Disco
908,Create SW anomaly,complete,Value 2,2010-04-13 14:34:05+00:00,Create SW anomaly,Value 2,Case1594,Variant 143,143,Fluxicon Disco
909,Resolve ticket,complete,Value 2,2010-04-13 14:34:09+00:00,Resolve ticket,Value 2,Case1594,Variant 143,143,Fluxicon Disco
910,Take in charge ticket,complete,Value 2,2010-04-13 14:34:31+00:00,Take in charge ticket,Value 2,Case1594,Variant 143,143,Fluxicon Disco
911,Create SW anomaly,complete,Value 2,2010-04-13 14:34:35+00:00,Create SW anomaly,Value 2,Case1594,Variant 143,143,Fluxicon Disco
912,Resolve ticket,complete,Value 2,2010-04-13 14:34:46+00:00,Resolve ticket,Value 2,Case1594,Variant 143,143,Fluxicon Disco
913,Closed,complete,Value 5,2010-05-27 10:00:22+00:00,Closed,Value 5,Case1594,Variant 143,143,Fluxicon Disco
914,Assign seriousness,complete,Value 2,2010-04-13 10:17:23+00:00,Assign seriousness,Value 2,Case663,Variant 1,1,Fluxicon Disco
915,Take in charge ticket,complete,Value 2,2010-04-14 07:25:56+00:00,Take in charge ticket,Value 2,Case663,Variant 1,1,Fluxicon Disco
916,Resolve ticket,complete,Value 2,2010-04-14 08:31:36+00:00,Resolve ticket,Value 2,Case663,Variant 1,1,Fluxicon Disco
917,Closed,complete,Value 5,2010-05-14 10:20:26+00:00,Closed,Value 5,Case663,Variant 1,1,Fluxicon Disco
918,Assign seriousness,complete,Value 2,2010-04-14 09:07:44+00:00,Assign seriousness,Value 2,Case1981,Variant 4,4,Fluxicon Disco
919,Assign seriousness,complete,Value 16,2010-05-04 16:10:29+00:00,Assign seriousness,Value 16,Case1981,Variant 4,4,Fluxicon Disco
920,Take in charge ticket,complete,Value 16,2010-05-04 16:10:37+00:00,Take in charge ticket,Value 16,Case1981,Variant 4,4,Fluxicon Disco
921,Resolve ticket,complete,Value 16,2010-05-04 16:10:42+00:00,Resolve ticket,Value 16,Case1981,Variant 4,4,Fluxicon Disco
922,Closed,complete,Value 5,2010-06-03 16:11:09+00:00,Closed,Value 5,Case1981,Variant 4,4,Fluxicon Disco
923,Assign seriousness,complete,Value 2,2010-04-14 15:27:29+00:00,Assign seriousness,Value 2,Case2005,Variant 1,1,Fluxicon Disco
924,Take in charge ticket,complete,Value 2,2010-05-03 14:52:34+00:00,Take in charge ticket,Value 2,Case2005,Variant 1,1,Fluxicon Disco
925,Resolve ticket,complete,Value 2,2010-05-03 14:52:38+00:00,Resolve ticket,Value 2,Case2005,Variant 1,1,Fluxicon Disco
926,Closed,complete,Value 5,2010-05-18 14:52:52+00:00,Closed,Value 5,Case2005,Variant 1,1,Fluxicon Disco
927,Assign seriousness,complete,Value 2,2010-04-15 07:13:46+00:00,Assign seriousness,Value 2,Case215,Variant 1,1,Fluxicon Disco
928,Take in charge ticket,complete,Value 2,2010-04-27 14:30:12+00:00,Take in charge ticket,Value 2,Case215,Variant 1,1,Fluxicon Disco
