,case_id,prefix_length,activities,resources,timestamps,next_activity
1764,Case1571,4,"['Assign seriousness', 'Take in charge ticket', 'Wait', 'Wait']","['Value 9', 'Value 9', 'Value 14', 'Value 14']","[Timestamp('2013-08-01 15:29:44+0000', tz='UTC'), Timestamp('2013-08-02 08:34:38+0000', tz='UTC'), Timestamp('2013-08-02 09:23:00+0000', tz='UTC'), Timestamp('2013-08-02 10:40:31+0000', tz='UTC')]",Wait
1765,Case1571,5,"['Assign seriousness', 'Take in charge ticket', 'Wait', 'Wait', 'Wait']","['Value 9', 'Value 9', 'Value 14', 'Value 14', 'Value 9']","[Timestamp('2013-08-01 15:29:44+0000', tz='UTC'), Timestamp('2013-08-02 08:34:38+0000', tz='UTC'), Timestamp('2013-08-02 09:23:00+0000', tz='UTC'), Timestamp('2013-08-02 10:40:31+0000', tz='UTC'), Timestamp('2013-08-02 12:54:43+0000', tz='UTC')]",Wait
1766,Case1572,1,['Assign seriousness'],['Value 9'],"[Timestamp('2010-07-26 14:00:22+0000', tz='UTC')]",Assign seriousness
1767,Case1572,2,"['Assign seriousness', 'Assign seriousness']","['Value 9', 'Value 21']","[Timestamp('2010-07-26 14:00:22+0000', tz='UTC'), Timestamp('2010-07-28 13:35:50+0000', tz='UTC')]",Take in charge ticket
1768,Case1572,3,"['Assign seriousness', 'Assign seriousness', 'Take in charge ticket']","['Value 9', 'Value 21', 'Value 21']","[Timestamp('2010-07-26 14:00:22+0000', tz='UTC'), Timestamp('2010-07-28 13:35:50+0000', tz='UTC'), Timestamp('2010-07-28 13:36:03+0000', tz='UTC')]",Resolve ticket
1769,Case1573,1,['Assign seriousness'],['Value 1'],"[Timestamp('2011-11-25 10:32:46+0000', tz='UTC')]",Resolve ticket
1770,Case1574,1,['Assign seriousness'],['Value 1'],"[Timestamp('2013-02-27 10:16:25+0000', tz='UTC')]",Take in charge ticket
1771,Case1574,2,"['Assign seriousness', 'Take in charge ticket']","['Value 1', 'Value 2']","[Timestamp('2013-02-27 10:16:25+0000', tz='UTC'), Timestamp('2013-03-04 11:26:58+0000', tz='UTC')]",Resolve ticket
1772,Case1575,1,['Assign seriousness'],['Value 8'],"[Timestamp('2011-05-19 15:45:31+0000', tz='UTC')]",Take in charge ticket
1773,Case1575,2,"['Assign seriousness', 'Take in charge ticket']","['Value 8', 'Value 8']","[Timestamp('2011-05-19 15:45:31+0000', tz='UTC'), Timestamp('2011-05-19 15:45:56+0000', tz='UTC')]",Wait
1774,Case1575,3,"['Assign seriousness', 'Take in charge ticket', 'Wait']","['Value 8', 'Value 8', 'Value 9']","[Timestamp('2011-05-19 15:45:31+0000', tz='UTC'), Timestamp('2011-05-19 15:45:56+0000', tz='UTC'), Timestamp('2011-05-20 14:41:00+0000', tz='UTC')]",Take in charge ticket
1775,Case1575,4,"['Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket']","['Value 8', 'Value 8', 'Value 9', 'Value 9']","[Timestamp('2011-05-19 15:45:31+0000', tz='UTC'), Timestamp('2011-05-19 15:45:56+0000', tz='UTC'), Timestamp('2011-05-20 14:41:00+0000', tz='UTC'), Timestamp('2011-05-27 14:22:22+0000', tz='UTC')]",Resolve ticket
1776,Case1575,5,"['Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket']","['Value 8', 'Value 8', 'Value 9', 'Value 9', 'Value 9']","[Timestamp('2011-05-19 15:45:31+0000', tz='UTC'), Timestamp('2011-05-19 15:45:56+0000', tz='UTC'), Timestamp('2011-05-20 14:41:00+0000', tz='UTC'), Timestamp('2011-05-27 14:22:22+0000', tz='UTC'), Timestamp('2011-05-27 14:23:07+0000', tz='UTC')]",Take in charge ticket
1777,Case1575,6,"['Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket']","['Value 8', 'Value 8', 'Value 9', 'Value 9', 'Value 9', 'Value 9']","[Timestamp('2011-05-19 15:45:31+0000', tz='UTC'), Timestamp('2011-05-19 15:45:56+0000', tz='UTC'), Timestamp('2011-05-20 14:41:00+0000', tz='UTC'), Timestamp('2011-05-27 14:22:22+0000', tz='UTC'), Timestamp('2011-05-27 14:23:07+0000', tz='UTC'), Timestamp('2011-06-06 07:07:42+0000', tz='UTC')]",Resolve ticket
1778,Case1576,1,['Assign seriousness'],['Value 2'],"[Timestamp('2010-07-22 10:26:48+0000', tz='UTC')]",Take in charge ticket
1779,Case1576,2,"['Assign seriousness', 'Take in charge ticket']","['Value 2', 'Value 9']","[Timestamp('2010-07-22 10:26:48+0000', tz='UTC'), Timestamp('2010-07-27 10:19:39+0000', tz='UTC')]",Resolve ticket
1780,Case1577,1,['Insert ticket'],['Value 14'],"[Timestamp('2013-04-24 09:56:51+0000', tz='UTC')]",Assign seriousness
1781,Case1577,2,"['Insert ticket', 'Assign seriousness']","['Value 14', 'Value 14']","[Timestamp('2013-04-24 09:56:51+0000', tz='UTC'), Timestamp('2013-04-24 10:03:05+0000', tz='UTC')]",Assign seriousness
1782,Case1577,3,"['Insert ticket', 'Assign seriousness', 'Assign seriousness']","['Value 14', 'Value 14', 'Value 9']","[Timestamp('2013-04-24 09:56:51+0000', tz='UTC'), Timestamp('2013-04-24 10:03:05+0000', tz='UTC'), Timestamp('2013-04-26 08:08:24+0000', tz='UTC')]",Take in charge ticket
1783,Case1577,4,"['Insert ticket', 'Assign seriousness', 'Assign seriousness', 'Take in charge ticket']","['Value 14', 'Value 14', 'Value 9', 'Value 12']","[Timestamp('2013-04-24 09:56:51+0000', tz='UTC'), Timestamp('2013-04-24 10:03:05+0000', tz='UTC'), Timestamp('2013-04-26 08:08:24+0000', tz='UTC'), Timestamp('2013-04-29 08:44:36+0000', tz='UTC')]",Resolve ticket
1784,Case1578,1,['Assign seriousness'],['Value 13'],"[Timestamp('2011-07-06 07:52:32+0000', tz='UTC')]",Take in charge ticket
1785,Case1578,2,"['Assign seriousness', 'Take in charge ticket']","['Value 13', 'Value 2']","[Timestamp('2011-07-06 07:52:32+0000', tz='UTC'), Timestamp('2011-07-06 09:03:53+0000', tz='UTC')]",Resolve ticket
1786,Case1579,1,['Assign seriousness'],['Value 19'],"[Timestamp('2010-10-29 14:23:28+0000', tz='UTC')]",Take in charge ticket
1787,Case1579,2,"['Assign seriousness', 'Take in charge ticket']","['Value 19', 'Value 19']","[Timestamp('2010-10-29 14:23:28+0000', tz='UTC'), Timestamp('2010-10-29 14:23:41+0000', tz='UTC')]",Resolve ticket
1788,Case158,1,['Assign seriousness'],['Value 7'],"[Timestamp('2010-09-20 15:57:01+0000', tz='UTC')]",Take in charge ticket
1789,Case158,2,"['Assign seriousness', 'Take in charge ticket']","['Value 7', 'Value 2']","[Timestamp('2010-09-20 15:57:01+0000', tz='UTC'), Timestamp('2010-09-21 07:45:37+0000', tz='UTC')]",Resolve ticket
1790,Case1580,1,['Assign seriousness'],['Value 2'],"[Timestamp('2012-10-01 15:53:34+0000', tz='UTC')]",Take in charge ticket
1791,Case1580,2,"['Assign seriousness', 'Take in charge ticket']","['Value 2', 'Value 2']","[Timestamp('2012-10-01 15:53:34+0000', tz='UTC'), Timestamp('2012-10-02 14:48:29+0000', tz='UTC')]",Wait
1792,Case1580,3,"['Assign seriousness', 'Take in charge ticket', 'Wait']","['Value 2', 'Value 2', 'Value 2']","[Timestamp('2012-10-01 15:53:34+0000', tz='UTC'), Timestamp('2012-10-02 14:48:29+0000', tz='UTC'), Timestamp('2012-10-16 15:10:47+0000', tz='UTC')]",Resolve ticket
1793,Case1581,1,['Assign seriousness'],['Value 9'],"[Timestamp('2010-09-30 15:19:26+0000', tz='UTC')]",Take in charge ticket
1794,Case1581,2,"['Assign seriousness', 'Take in charge ticket']","['Value 9', 'Value 2']","[Timestamp('2010-09-30 15:19:26+0000', tz='UTC'), Timestamp('2010-09-30 15:49:54+0000', tz='UTC')]",Resolve ticket
1795,Case1582,1,['Assign seriousness'],['Value 9'],"[Timestamp('2010-09-24 10:33:04+0000', tz='UTC')]",Take in charge ticket
1796,Case1582,2,"['Assign seriousness', 'Take in charge ticket']","['Value 9', 'Value 6']","[Timestamp('2010-09-24 10:33:04+0000', tz='UTC'), Timestamp('2010-09-28 10:32:37+0000', tz='UTC')]",Resolve ticket
1797,Case1582,3,"['Assign seriousness', 'Take in charge ticket', 'Resolve ticket']","['Value 9', 'Value 6', 'Value 6']","[Timestamp('2010-09-24 10:33:04+0000', tz='UTC'), Timestamp('2010-09-28 10:32:37+0000', tz='UTC'), Timestamp('2010-09-28 13:07:51+0000', tz='UTC')]",Resolve ticket
1798,Case1583,1,['Assign seriousness'],['Value 8'],"[Timestamp('2011-02-03 16:12:54+0000', tz='UTC')]",Take in charge ticket
1799,Case1583,2,"['Assign seriousness', 'Take in charge ticket']","['Value 8', 'Value 2']","[Timestamp('2011-02-03 16:12:54+0000', tz='UTC'), Timestamp('2011-02-18 11:48:06+0000', tz='UTC')]",Resolve ticket
1800,Case1584,1,['Assign seriousness'],['Value 8'],"[Timestamp('2011-02-02 10:24:41+0000', tz='UTC')]",Take in charge ticket
1801,Case1584,2,"['Assign seriousness', 'Take in charge ticket']","['Value 8', 'Value 8']","[Timestamp('2011-02-02 10:24:41+0000', tz='UTC'), Timestamp('2011-02-02 10:24:54+0000', tz='UTC')]",Resolve ticket
1802,Case1585,1,['Assign seriousness'],['Value 2'],"[Timestamp('2010-05-25 07:57:21+0000', tz='UTC')]",Take in charge ticket
1803,Case1585,2,"['Assign seriousness', 'Take in charge ticket']","['Value 2', 'Value 2']","[Timestamp('2010-05-25 07:57:21+0000', tz='UTC'), Timestamp('2010-05-28 12:33:23+0000', tz='UTC')]",Resolve ticket
1804,Case1586,1,['Assign seriousness'],['Value 2'],"[Timestamp('2011-10-27 15:42:18+0000', tz='UTC')]",Take in charge ticket
1805,Case1586,2,"['Assign seriousness', 'Take in charge ticket']","['Value 2', 'Value 2']","[Timestamp('2011-10-27 15:42:18+0000', tz='UTC'), Timestamp('2011-10-31 11:26:25+0000', tz='UTC')]",Resolve ticket
1806,Case1587,1,['Assign seriousness'],['Value 1'],"[Timestamp('2012-07-31 14:45:22+0000', tz='UTC')]",Take in charge ticket
1807,Case1587,2,"['Assign seriousness', 'Take in charge ticket']","['Value 1', 'Value 4']","[Timestamp('2012-07-31 14:45:22+0000', tz='UTC'), Timestamp('2012-08-02 12:13:57+0000', tz='UTC')]",Wait
1808,Case1587,3,"['Assign seriousness', 'Take in charge ticket', 'Wait']","['Value 1', 'Value 4', 'Value 4']","[Timestamp('2012-07-31 14:45:22+0000', tz='UTC'), Timestamp('2012-08-02 12:13:57+0000', tz='UTC'), Timestamp('2012-08-14 15:55:14+0000', tz='UTC')]",Resolve ticket
1809,Case1588,1,['Assign seriousness'],['Value 1'],"[Timestamp('2012-02-20 09:32:11+0000', tz='UTC')]",Take in charge ticket
1810,Case1588,2,"['Assign seriousness', 'Take in charge ticket']","['Value 1', 'Value 13']","[Timestamp('2012-02-20 09:32:11+0000', tz='UTC'), Timestamp('2012-02-20 10:26:08+0000', tz='UTC')]",Resolve ticket
1811,Case1589,1,['Assign seriousness'],['Value 2'],"[Timestamp('2010-04-21 15:50:40+0000', tz='UTC')]",Take in charge ticket
1812,Case1589,2,"['Assign seriousness', 'Take in charge ticket']","['Value 2', 'Value 2']","[Timestamp('2010-04-21 15:50:40+0000', tz='UTC'), Timestamp('2010-05-17 15:41:42+0000', tz='UTC')]",Resolve ticket
1813,Case159,1,['Assign seriousness'],['Value 1'],"[Timestamp('2011-09-21 07:12:16+0000', tz='UTC')]",Take in charge ticket
1814,Case159,2,"['Assign seriousness', 'Take in charge ticket']","['Value 1', 'Value 13']","[Timestamp('2011-09-21 07:12:16+0000', tz='UTC'), Timestamp('2011-09-21 07:46:44+0000', tz='UTC')]",Resolve ticket
1815,Case1590,1,['Assign seriousness'],['Value 8'],"[Timestamp('2011-01-28 11:31:22+0000', tz='UTC')]",Take in charge ticket
1816,Case1590,2,"['Assign seriousness', 'Take in charge ticket']","['Value 8', 'Value 9']","[Timestamp('2011-01-28 11:31:22+0000', tz='UTC'), Timestamp('2011-02-04 16:36:54+0000', tz='UTC')]",Resolve ticket
1817,Case1591,1,['Assign seriousness'],['Value 4'],"[Timestamp('2012-05-15 08:12:50+0000', tz='UTC')]",Take in charge ticket
1818,Case1591,2,"['Assign seriousness', 'Take in charge ticket']","['Value 4', 'Value 4']","[Timestamp('2012-05-15 08:12:50+0000', tz='UTC'), Timestamp('2012-05-15 08:13:09+0000', tz='UTC')]",Resolve ticket
1819,Case1592,1,['Assign seriousness'],['Value 1'],"[Timestamp('2012-06-05 13:12:47+0000', tz='UTC')]",Take in charge ticket
1820,Case1592,2,"['Assign seriousness', 'Take in charge ticket']","['Value 1', 'Value 1']","[Timestamp('2012-06-05 13:12:47+0000', tz='UTC'), Timestamp('2012-06-05 13:12:54+0000', tz='UTC')]",Wait
1821,Case1592,3,"['Assign seriousness', 'Take in charge ticket', 'Wait']","['Value 1', 'Value 1', 'Value 1']","[Timestamp('2012-06-05 13:12:47+0000', tz='UTC'), Timestamp('2012-06-05 13:12:54+0000', tz='UTC'), Timestamp('2012-06-05 13:22:26+0000', tz='UTC')]",Resolve ticket
1822,Case1593,1,['Assign seriousness'],['Value 2'],"[Timestamp('2010-09-01 15:03:24+0000', tz='UTC')]",Take in charge ticket
1823,Case1593,2,"['Assign seriousness', 'Take in charge ticket']","['Value 2', 'Value 14']","[Timestamp('2010-09-01 15:03:24+0000', tz='UTC'), Timestamp('2010-09-10 15:20:12+0000', tz='UTC')]",Resolve ticket
1824,Case1594,1,['Assign seriousness'],['Value 2'],"[Timestamp('2010-04-13 09:52:20+0000', tz='UTC')]",Take in charge ticket
1825,Case1594,2,"['Assign seriousness', 'Take in charge ticket']","['Value 2', 'Value 2']","[Timestamp('2010-04-13 09:52:20+0000', tz='UTC'), Timestamp('2010-04-13 14:33:13+0000', tz='UTC')]",Resolve ticket
1826,Case1594,3,"['Assign seriousness', 'Take in charge ticket', 'Resolve ticket']","['Value 2', 'Value 2', 'Value 2']","[Timestamp('2010-04-13 09:52:20+0000', tz='UTC'), Timestamp('2010-04-13 14:33:13+0000', tz='UTC'), Timestamp('2010-04-13 14:33:17+0000', tz='UTC')]",Take in charge ticket
1827,Case1594,4,"['Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket']","['Value 2', 'Value 2', 'Value 2', 'Value 2']","[Timestamp('2010-04-13 09:52:20+0000', tz='UTC'), Timestamp('2010-04-13 14:33:13+0000', tz='UTC'), Timestamp('2010-04-13 14:33:17+0000', tz='UTC'), Timestamp('2010-04-13 14:34:02+0000', tz='UTC')]",Create SW anomaly
1828,Case1594,5,"['Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Create SW anomaly']","['Value 2', 'Value 2', 'Value 2', 'Value 2', 'Value 2']","[Timestamp('2010-04-13 09:52:20+0000', tz='UTC'), Timestamp('2010-04-13 14:33:13+0000', tz='UTC'), Timestamp('2010-04-13 14:33:17+0000', tz='UTC'), Timestamp('2010-04-13 14:34:02+0000', tz='UTC'), Timestamp('2010-04-13 14:34:05+0000', tz='UTC')]",Resolve ticket
1829,Case1594,6,"['Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Create SW anomaly', 'Resolve ticket']","['Value 2', 'Value 2', 'Value 2', 'Value 2', 'Value 2', 'Value 2']","[Timestamp('2010-04-13 09:52:20+0000', tz='UTC'), Timestamp('2010-04-13 14:33:13+0000', tz='UTC'), Timestamp('2010-04-13 14:33:17+0000', tz='UTC'), Timestamp('2010-04-13 14:34:02+0000', tz='UTC'), Timestamp('2010-04-13 14:34:05+0000', tz='UTC'), Timestamp('2010-04-13 14:34:09+0000', tz='UTC')]",Take in charge ticket
1830,Case1594,7,"['Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Create SW anomaly', 'Resolve ticket', 'Take in charge ticket']","['Value 2', 'Value 2', 'Value 2', 'Value 2', 'Value 2', 'Value 2', 'Value 2']","[Timestamp('2010-04-13 09:52:20+0000', tz='UTC'), Timestamp('2010-04-13 14:33:13+0000', tz='UTC'), Timestamp('2010-04-13 14:33:17+0000', tz='UTC'), Timestamp('2010-04-13 14:34:02+0000', tz='UTC'), Timestamp('2010-04-13 14:34:05+0000', tz='UTC'), Timestamp('2010-04-13 14:34:09+0000', tz='UTC'), Timestamp('2010-04-13 14:34:31+0000', tz='UTC')]",Create SW anomaly
1831,Case1594,8,"['Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Create SW anomaly', 'Resolve ticket', 'Take in charge ticket', 'Create SW anomaly']","['Value 2', 'Value 2', 'Value 2', 'Value 2', 'Value 2', 'Value 2', 'Value 2', 'Value 2']","[Timestamp('2010-04-13 09:52:20+0000', tz='UTC'), Timestamp('2010-04-13 14:33:13+0000', tz='UTC'), Timestamp('2010-04-13 14:33:17+0000', tz='UTC'), Timestamp('2010-04-13 14:34:02+0000', tz='UTC'), Timestamp('2010-04-13 14:34:05+0000', tz='UTC'), Timestamp('2010-04-13 14:34:09+0000', tz='UTC'), Timestamp('2010-04-13 14:34:31+0000', tz='UTC'), Timestamp('2010-04-13 14:34:35+0000', tz='UTC')]",Resolve ticket
1832,Case1595,1,['Assign seriousness'],['Value 2'],"[Timestamp('2010-12-10 09:53:14+0000', tz='UTC')]",Take in charge ticket
1833,Case1595,2,"['Assign seriousness', 'Take in charge ticket']","['Value 2', 'Value 2']","[Timestamp('2010-12-10 09:53:14+0000', tz='UTC'), Timestamp('2010-12-13 09:21:25+0000', tz='UTC')]",Wait
1834,Case1595,3,"['Assign seriousness', 'Take in charge ticket', 'Wait']","['Value 2', 'Value 2', 'Value 2']","[Timestamp('2010-12-10 09:53:14+0000', tz='UTC'), Timestamp('2010-12-13 09:21:25+0000', tz='UTC'), Timestamp('2010-12-13 10:29:12+0000', tz='UTC')]",Take in charge ticket
1835,Case1595,4,"['Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket']","['Value 2', 'Value 2', 'Value 2', 'Value 2']","[Timestamp('2010-12-10 09:53:14+0000', tz='UTC'), Timestamp('2010-12-13 09:21:25+0000', tz='UTC'), Timestamp('2010-12-13 10:29:12+0000', tz='UTC'), Timestamp('2010-12-14 14:56:01+0000', tz='UTC')]",Wait
1836,Case1595,5,"['Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Wait']","['Value 2', 'Value 2', 'Value 2', 'Value 2', 'Value 2']","[Timestamp('2010-12-10 09:53:14+0000', tz='UTC'), Timestamp('2010-12-13 09:21:25+0000', tz='UTC'), Timestamp('2010-12-13 10:29:12+0000', tz='UTC'), Timestamp('2010-12-14 14:56:01+0000', tz='UTC'), Timestamp('2010-12-14 15:36:26+0000', tz='UTC')]",Take in charge ticket
1837,Case1595,6,"['Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Wait', 'Take in charge ticket']","['Value 2', 'Value 2', 'Value 2', 'Value 2', 'Value 2', 'Value 2']","[Timestamp('2010-12-10 09:53:14+0000', tz='UTC'), Timestamp('2010-12-13 09:21:25+0000', tz='UTC'), Timestamp('2010-12-13 10:29:12+0000', tz='UTC'), Timestamp('2010-12-14 14:56:01+0000', tz='UTC'), Timestamp('2010-12-14 15:36:26+0000', tz='UTC'), Timestamp('2010-12-27 08:26:15+0000', tz='UTC')]",Resolve ticket
1838,Case1596,1,['Assign seriousness'],['Value 13'],"[Timestamp('2012-03-15 15:39:13+0000', tz='UTC')]",Take in charge ticket
1839,Case1596,2,"['Assign seriousness', 'Take in charge ticket']","['Value 13', 'Value 13']","[Timestamp('2012-03-15 15:39:13+0000', tz='UTC'), Timestamp('2012-03-16 16:28:29+0000', tz='UTC')]",Resolve ticket
1840,Case1597,1,['Assign seriousness'],['Value 14'],"[Timestamp('2010-09-15 11:15:20+0000', tz='UTC')]",Take in charge ticket
1841,Case1597,2,"['Assign seriousness', 'Take in charge ticket']","['Value 14', 'Value 14']","[Timestamp('2010-09-15 11:15:20+0000', tz='UTC'), Timestamp('2010-09-15 11:16:50+0000', tz='UTC')]",Resolve ticket
1842,Case1598,1,['Assign seriousness'],['Value 1'],"[Timestamp('2012-01-26 11:20:22+0000', tz='UTC')]",Take in charge ticket
1843,Case1598,2,"['Assign seriousness', 'Take in charge ticket']","['Value 1', 'Value 13']","[Timestamp('2012-01-26 11:20:22+0000', tz='UTC'), Timestamp('2012-01-26 11:58:23+0000', tz='UTC')]",Resolve ticket
1844,Case1598,3,"['Assign seriousness', 'Take in charge ticket', 'Resolve ticket']","['Value 1', 'Value 13', 'Value 9']","[Timestamp('2012-01-26 11:20:22+0000', tz='UTC'), Timestamp('2012-01-26 11:58:23+0000', tz='UTC'), Timestamp('2012-01-26 14:29:11+0000', tz='UTC')]",Resolve ticket
1845,Case1599,1,['Assign seriousness'],['Value 4'],"[Timestamp('2012-02-03 11:25:26+0000', tz='UTC')]",Take in charge ticket
1846,Case1599,2,"['Assign seriousness', 'Take in charge ticket']","['Value 4', 'Value 4']","[Timestamp('2012-02-03 11:25:26+0000', tz='UTC'), Timestamp('2012-02-09 08:15:34+0000', tz='UTC')]",Resolve ticket
1847,Case16,1,['Assign seriousness'],['Value 1'],"[Timestamp('2012-02-22 14:16:52+0000', tz='UTC')]",Take in charge ticket
1848,Case16,2,"['Assign seriousness', 'Take in charge ticket']","['Value 1', 'Value 9']","[Timestamp('2012-02-22 14:16:52+0000', tz='UTC'), Timestamp('2012-02-22 16:14:07+0000', tz='UTC')]",Take in charge ticket
1849,Case16,3,"['Assign seriousness', 'Take in charge ticket', 'Take in charge ticket']","['Value 1', 'Value 9', 'Value 1']","[Timestamp('2012-02-22 14:16:52+0000', tz='UTC'), Timestamp('2012-02-22 16:14:07+0000', tz='UTC'), Timestamp('2012-02-22 16:23:57+0000', tz='UTC')]",Resolve ticket
1850,Case160,1,['Assign seriousness'],['Value 8'],"[Timestamp('2011-02-25 10:55:02+0000', tz='UTC')]",Take in charge ticket
1851,Case160,2,"['Assign seriousness', 'Take in charge ticket']","['Value 8', 'Value 8']","[Timestamp('2011-02-25 10:55:02+0000', tz='UTC'), Timestamp('2011-02-25 13:26:45+0000', tz='UTC')]",Resolve ticket
1852,Case1600,1,['Assign seriousness'],['Value 1'],"[Timestamp('2011-10-24 09:55:40+0000', tz='UTC')]",Take in charge ticket
1853,Case1600,2,"['Assign seriousness', 'Take in charge ticket']","['Value 1', 'Value 1']","[Timestamp('2011-10-24 09:55:40+0000', tz='UTC'), Timestamp('2011-10-24 09:56:20+0000', tz='UTC')]",Resolve ticket
1854,Case1601,1,['Assign seriousness'],['Value 1'],"[Timestamp('2012-04-02 16:04:30+0000', tz='UTC')]",Take in charge ticket
1855,Case1601,2,"['Assign seriousness', 'Take in charge ticket']","['Value 1', 'Value 12']","[Timestamp('2012-04-02 16:04:30+0000', tz='UTC'), Timestamp('2012-04-05 07:30:00+0000', tz='UTC')]",Resolve ticket
1856,Case1602,1,['Assign seriousness'],['Value 1'],"[Timestamp('2012-03-21 14:50:05+0000', tz='UTC')]",Take in charge ticket
1857,Case1602,2,"['Assign seriousness', 'Take in charge ticket']","['Value 1', 'Value 13']","[Timestamp('2012-03-21 14:50:05+0000', tz='UTC'), Timestamp('2012-03-22 13:24:03+0000', tz='UTC')]",Resolve ticket
1858,Case1603,1,['Assign seriousness'],['Value 1'],"[Timestamp('2013-02-08 16:07:30+0000', tz='UTC')]",Resolve ticket
1859,Case1603,2,"['Assign seriousness', 'Resolve ticket']","['Value 1', 'Value 2']","[Timestamp('2013-02-08 16:07:30+0000', tz='UTC'), Timestamp('2013-02-25 13:18:45+0000', tz='UTC')]",Resolve ticket
1860,Case1604,1,['Assign seriousness'],['Value 1'],"[Timestamp('2013-02-06 14:59:57+0000', tz='UTC')]",Take in charge ticket
1861,Case1604,2,"['Assign seriousness', 'Take in charge ticket']","['Value 1', 'Value 1']","[Timestamp('2013-02-06 14:59:57+0000', tz='UTC'), Timestamp('2013-02-22 08:23:35+0000', tz='UTC')]",Wait
1862,Case1604,3,"['Assign seriousness', 'Take in charge ticket', 'Wait']","['Value 1', 'Value 1', 'Value 1']","[Timestamp('2013-02-06 14:59:57+0000', tz='UTC'), Timestamp('2013-02-22 08:23:35+0000', tz='UTC'), Timestamp('2013-02-22 13:46:07+0000', tz='UTC')]",Resolve ticket
1863,Case1605,1,['Assign seriousness'],['Value 1'],"[Timestamp('2013-06-27 10:37:50+0000', tz='UTC')]",Take in charge ticket
1864,Case1605,2,"['Assign seriousness', 'Take in charge ticket']","['Value 1', 'Value 2']","[Timestamp('2013-06-27 10:37:50+0000', tz='UTC'), Timestamp('2013-07-05 07:07:07+0000', tz='UTC')]",Take in charge ticket
1865,Case1605,3,"['Assign seriousness', 'Take in charge ticket', 'Take in charge ticket']","['Value 1', 'Value 2', 'Value 4']","[Timestamp('2013-06-27 10:37:50+0000', tz='UTC'), Timestamp('2013-07-05 07:07:07+0000', tz='UTC'), Timestamp('2013-07-15 08:41:41+0000', tz='UTC')]",Wait
1866,Case1605,4,"['Assign seriousness', 'Take in charge ticket', 'Take in charge ticket', 'Wait']","['Value 1', 'Value 2', 'Value 4', 'Value 4']","[Timestamp('2013-06-27 10:37:50+0000', tz='UTC'), Timestamp('2013-07-05 07:07:07+0000', tz='UTC'), Timestamp('2013-07-15 08:41:41+0000', tz='UTC'), Timestamp('2013-07-15 08:50:15+0000', tz='UTC')]",Resolve ticket
1867,Case1606,1,['Assign seriousness'],['Value 9'],"[Timestamp('2011-07-21 09:50:37+0000', tz='UTC')]",Take in charge ticket
1868,Case1606,2,"['Assign seriousness', 'Take in charge ticket']","['Value 9', 'Value 9']","[Timestamp('2011-07-21 09:50:37+0000', tz='UTC'), Timestamp('2011-07-21 09:50:49+0000', tz='UTC')]",Wait
1869,Case1606,3,"['Assign seriousness', 'Take in charge ticket', 'Wait']","['Value 9', 'Value 9', 'Value 9']","[Timestamp('2011-07-21 09:50:37+0000', tz='UTC'), Timestamp('2011-07-21 09:50:49+0000', tz='UTC'), Timestamp('2011-07-21 09:57:29+0000', tz='UTC')]",Resolve ticket
1870,Case1606,4,"['Assign seriousness', 'Take in charge ticket', 'Wait', 'Resolve ticket']","['Value 9', 'Value 9', 'Value 9', 'Value 9']","[Timestamp('2011-07-21 09:50:37+0000', tz='UTC'), Timestamp('2011-07-21 09:50:49+0000', tz='UTC'), Timestamp('2011-07-21 09:57:29+0000', tz='UTC'), Timestamp('2011-07-29 12:41:19+0000', tz='UTC')]",Take in charge ticket
1871,Case1606,5,"['Assign seriousness', 'Take in charge ticket', 'Wait', 'Resolve ticket', 'Take in charge ticket']","['Value 9', 'Value 9', 'Value 9', 'Value 9', 'Value 9']","[Timestamp('2011-07-21 09:50:37+0000', tz='UTC'), Timestamp('2011-07-21 09:50:49+0000', tz='UTC'), Timestamp('2011-07-21 09:57:29+0000', tz='UTC'), Timestamp('2011-07-29 12:41:19+0000', tz='UTC'), Timestamp('2011-08-04 07:38:50+0000', tz='UTC')]",Wait
1872,Case1606,6,"['Assign seriousness', 'Take in charge ticket', 'Wait', 'Resolve ticket', 'Take in charge ticket', 'Wait']","['Value 9', 'Value 9', 'Value 9', 'Value 9', 'Value 9', 'Value 9']","[Timestamp('2011-07-21 09:50:37+0000', tz='UTC'), Timestamp('2011-07-21 09:50:49+0000', tz='UTC'), Timestamp('2011-07-21 09:57:29+0000', tz='UTC'), Timestamp('2011-07-29 12:41:19+0000', tz='UTC'), Timestamp('2011-08-04 07:38:50+0000', tz='UTC'), Timestamp('2011-08-04 08:19:41+0000', tz='UTC')]",Resolve ticket
